problem_idx,ground_truth,n_samples,n_correct,accuracy
0,18,4,4,1.0
1,3,4,4,1.0
2,70000,4,2,0.5
3,540,4,4,1.0
4,20,4,4,1.0
5,64,4,4,1.0
6,260,4,4,1.0
7,160,4,0,0.0
8,45,4,3,0.75
9,460,4,4,1.0
10,366,4,4,1.0
11,694,4,4,1.0
12,13,4,3,0.75
13,18,4,4,1.0
14,60,4,4,1.0
15,125,4,4,1.0
16,230,4,4,1.0
17,57500,4,4,1.0
18,7,4,4,1.0
19,6,4,4,1.0
20,15,4,4,1.0
21,14,4,4,1.0
22,7,4,4,1.0
23,8,4,4,1.0
24,26,4,3,0.75
25,2,4,4,1.0
26,243,4,4,1.0
27,16,4,4,1.0
28,25,4,4,1.0
29,104,4,1,0.25
30,109,4,4,1.0
31,80,4,4,1.0
32,35,4,4,1.0
33,70,4,4,1.0
34,23,4,4,1.0
35,9,4,4,1.0
36,75,4,4,1.0
37,2,4,0,0.0
38,10,4,4,1.0
39,18,4,4,1.0
40,8,4,4,1.0
41,200,4,2,0.5
42,26,4,4,1.0
43,48,4,4,1.0
44,20,4,4,1.0
45,104,4,4,1.0
46,163,4,4,1.0
47,800,4,4,1.0
48,8,4,4,1.0
49,30,4,4,1.0
50,294,4,4,1.0
51,5,4,4,1.0
52,15,4,4,1.0
53,40,4,4,1.0
54,40,4,3,0.75
55,14,4,4,1.0
56,3,4,4,1.0
57,83,4,4,1.0
58,57,4,0,0.0
59,187,4,4,1.0
60,17,4,4,1.0
61,1430,4,4,1.0
62,25000,4,0,0.0
63,1596,4,4,1.0
64,300,4,4,1.0
65,36,4,4,1.0
66,48,4,4,1.0
67,595,4,4,1.0
68,36,4,4,1.0
69,60,4,4,1.0
70,7425,4,4,1.0
71,60,4,4,1.0
72,221,4,4,1.0
73,255,4,4,1.0
74,88,4,4,1.0
75,60,4,0,0.0
76,5,4,4,1.0
77,100,4,4,1.0
78,6,4,4,1.0
79,70,4,4,1.0
80,10,4,4,1.0
81,17,4,4,1.0
82,623,4,4,1.0
83,600,4,4,1.0
84,15,4,4,1.0
85,44,4,4,1.0
86,22,4,4,1.0
87,9360,4,0,0.0
88,8000,4,4,1.0
89,24,4,2,0.5
90,225,4,4,1.0
91,28,4,4,1.0
92,4,4,4,1.0
93,36,4,0,0.0
94,348,4,4,1.0
95,40,4,4,1.0
96,3,4,4,1.0
97,12,4,4,1.0
98,5,4,4,1.0
99,58,4,4,1.0
