problem_idx,ground_truth,n_samples,n_correct,accuracy
0,18,32,25,0.78125
1,3,32,31,0.96875
2,70000,32,1,0.03125
3,540,32,0,0.0
4,20,32,10,0.3125
5,64,32,0,0.0
6,260,32,32,1.0
7,160,32,0,0.0
8,45,32,0,0.0
9,460,32,24,0.75
10,366,32,26,0.8125
11,694,32,21,0.65625
12,13,32,1,0.03125
13,18,32,4,0.125
14,60,32,17,0.53125
15,125,32,4,0.125
16,230,32,15,0.46875
17,57500,32,0,0.0
18,7,32,28,0.875
19,6,32,12,0.375
20,15,32,2,0.0625
21,14,32,0,0.0
22,7,32,31,0.96875
23,8,32,31,0.96875
24,26,32,17,0.53125
25,2,32,25,0.78125
26,243,32,18,0.5625
27,16,32,4,0.125
28,25,32,13,0.40625
29,104,32,2,0.0625
30,109,32,24,0.75
31,80,32,27,0.84375
32,35,32,31,0.96875
33,70,32,31,0.96875
34,23,32,31,0.96875
35,9,32,28,0.875
36,75,32,13,0.40625
37,2,32,0,0.0
38,10,32,13,0.40625
39,18,32,6,0.1875
40,8,32,32,1.0
41,200,32,3,0.09375
42,26,32,32,1.0
43,48,32,1,0.03125
44,20,32,2,0.0625
45,104,32,26,0.8125
46,163,32,26,0.8125
47,800,32,11,0.34375
48,8,32,28,0.875
49,30,32,30,0.9375
50,294,32,29,0.90625
51,5,32,3,0.09375
52,15,32,25,0.78125
53,40,32,28,0.875
54,40,32,0,0.0
55,14,32,29,0.90625
56,3,32,28,0.875
57,83,32,4,0.125
58,57,32,0,0.0
59,187,32,32,1.0
60,17,32,19,0.59375
61,1430,32,19,0.59375
62,25000,32,0,0.0
63,1596,32,4,0.125
64,300,32,30,0.9375
65,36,32,3,0.09375
66,48,32,12,0.375
67,595,32,27,0.84375
68,36,32,24,0.75
69,60,32,32,1.0
70,7425,32,3,0.09375
71,60,32,31,0.96875
72,221,32,32,1.0
73,255,32,24,0.75
74,88,32,9,0.28125
75,60,32,1,0.03125
76,5,32,11,0.34375
77,100,32,31,0.96875
78,6,32,22,0.6875
79,70,32,31,0.96875
80,10,32,27,0.84375
81,17,32,30,0.9375
82,623,32,32,1.0
83,600,32,32,1.0
84,15,32,30,0.9375
85,44,32,16,0.5
86,22,32,1,0.03125
87,9360,32,0,0.0
88,8000,32,12,0.375
89,24,32,12,0.375
90,225,32,32,1.0
91,28,32,31,0.96875
92,4,32,30,0.9375
93,36,32,0,0.0
94,348,32,13,0.40625
95,40,32,31,0.96875
96,3,32,32,1.0
97,12,32,4,0.125
98,5,32,3,0.09375
99,58,32,31,0.96875
100,175,32,3,0.09375
101,6,32,10,0.3125
102,26,32,0,0.0
103,140,32,30,0.9375
104,500,32,28,0.875
105,20,32,17,0.53125
106,72,32,9,0.28125
107,3,32,8,0.25
108,50,32,22,0.6875
109,28,32,8,0.25
110,45,32,23,0.71875
111,16,32,1,0.03125
112,24,32,28,0.875
113,25,32,32,1.0
114,6,32,7,0.21875
115,90,32,0,0.0
116,42,32,19,0.59375
117,360,32,32,1.0
118,4,32,30,0.9375
119,95200,32,0,0.0
120,240,32,32,1.0
121,27,32,32,1.0
122,48,32,1,0.03125
123,50,32,29,0.90625
124,10,32,22,0.6875
125,10,32,27,0.84375
126,82,32,32,1.0
127,120,32,32,1.0
128,880,32,22,0.6875
129,10000,32,1,0.03125
130,30,32,29,0.90625
131,940,32,31,0.96875
132,60,32,27,0.84375
133,13,32,31,0.96875
134,720,32,28,0.875
135,40,32,0,0.0
136,6,32,30,0.9375
137,29,32,6,0.1875
138,105,32,3,0.09375
139,70,32,12,0.375
140,20,32,31,0.96875
141,400,32,29,0.90625
142,140,32,31,0.96875
143,16,32,5,0.15625
144,20,32,28,0.875
145,4000,32,22,0.6875
146,2125,32,18,0.5625
147,75,32,0,0.0
148,30,32,31,0.96875
149,16,32,32,1.0
150,4,32,1,0.03125
151,5,32,0,0.0
152,4,32,7,0.21875
153,48,32,0,0.0
154,272,32,2,0.0625
155,280,32,8,0.25
