problem_idx,ground_truth,n_samples,n_correct,accuracy
0,18,32,32,1.0
1,3,32,32,1.0
2,70000,32,9,0.28125
3,540,32,0,0.0
4,20,32,21,0.65625
5,64,32,10,0.3125
6,260,32,32,1.0
7,160,32,1,0.03125
8,45,32,4,0.125
9,460,32,32,1.0
10,366,32,32,1.0
11,694,32,31,0.96875
12,13,32,5,0.15625
13,18,32,19,0.59375
14,60,32,32,1.0
15,125,32,25,0.78125
16,230,32,9,0.28125
17,57500,32,25,0.78125
18,7,32,28,0.875
19,6,32,25,0.78125
20,15,32,11,0.34375
21,14,32,0,0.0
22,7,32,32,1.0
23,8,32,32,1.0
24,26,32,32,1.0
25,2,32,32,1.0
26,243,32,32,1.0
27,16,32,28,0.875
28,25,32,26,0.8125
29,104,32,14,0.4375
30,109,32,32,1.0
31,80,32,31,0.96875
32,35,32,32,1.0
33,70,32,32,1.0
34,23,32,32,1.0
35,9,32,32,1.0
36,75,32,31,0.96875
37,2,32,1,0.03125
38,10,32,23,0.71875
39,18,32,31,0.96875
40,8,32,32,1.0
41,200,32,25,0.78125
42,26,32,32,1.0
43,48,32,21,0.65625
44,20,32,15,0.46875
45,104,32,25,0.78125
46,163,32,29,0.90625
47,800,32,27,0.84375
48,8,32,32,1.0
49,30,32,32,1.0
50,294,32,32,1.0
51,5,32,10,0.3125
52,15,32,31,0.96875
53,40,32,32,1.0
54,40,32,12,0.375
55,14,32,32,1.0
56,3,32,32,1.0
57,83,32,32,1.0
58,57,32,31,0.96875
59,187,32,32,1.0
60,17,32,32,1.0
61,1430,32,31,0.96875
62,25000,32,5,0.15625
63,1596,32,29,0.90625
64,300,32,32,1.0
65,36,32,14,0.4375
66,48,32,23,0.71875
67,595,32,32,1.0
68,36,32,32,1.0
69,60,32,32,1.0
70,7425,32,29,0.90625
71,60,32,32,1.0
72,221,32,32,1.0
73,255,32,32,1.0
74,88,32,14,0.4375
75,60,32,12,0.375
76,5,32,28,0.875
77,100,32,32,1.0
78,6,32,32,1.0
79,70,32,32,1.0
80,10,32,32,1.0
81,17,32,32,1.0
82,623,32,31,0.96875
83,600,32,32,1.0
84,15,32,32,1.0
85,44,32,26,0.8125
86,22,32,29,0.90625
87,9360,32,0,0.0
88,8000,32,32,1.0
89,24,32,14,0.4375
90,225,32,32,1.0
91,28,32,31,0.96875
92,4,32,32,1.0
93,36,32,0,0.0
94,348,32,32,1.0
95,40,32,32,1.0
96,3,32,32,1.0
97,12,32,30,0.9375
98,5,32,31,0.96875
99,58,32,32,1.0
100,175,32,1,0.03125
101,6,32,31,0.96875
102,26,32,0,0.0
103,140,32,32,1.0
104,500,32,32,1.0
105,20,32,32,1.0
106,72,32,29,0.90625
107,3,32,24,0.75
108,50,32,32,1.0
109,28,32,32,1.0
110,45,32,32,1.0
111,16,32,6,0.1875
112,24,32,32,1.0
113,25,32,32,1.0
114,6,32,31,0.96875
115,90,32,0,0.0
116,42,32,29,0.90625
117,360,32,31,0.96875
118,4,32,31,0.96875
119,95200,32,0,0.0
120,240,32,32,1.0
121,27,32,32,1.0
122,48,32,0,0.0
123,50,32,32,1.0
124,10,32,20,0.625
125,10,32,30,0.9375
126,82,32,32,1.0
127,120,32,32,1.0
128,880,32,32,1.0
129,10000,32,13,0.40625
130,30,32,31,0.96875
131,940,32,32,1.0
132,60,32,23,0.71875
133,13,32,30,0.9375
134,720,32,32,1.0
135,40,32,3,0.09375
136,6,32,32,1.0
137,29,32,27,0.84375
138,105,32,26,0.8125
139,70,32,16,0.5
140,20,32,32,1.0
141,400,32,32,1.0
142,140,32,31,0.96875
143,16,32,3,0.09375
144,20,32,32,1.0
145,4000,32,24,0.75
146,2125,32,22,0.6875
147,75,32,14,0.4375
148,30,32,32,1.0
149,16,32,32,1.0
150,4,32,23,0.71875
151,5,32,10,0.3125
152,4,32,32,1.0
153,48,32,4,0.125
154,272,32,20,0.625
155,280,32,32,1.0
156,1400,32,27,0.84375
157,80,32,6,0.1875
158,34,32,32,1.0
159,15,32,5,0.15625
160,16,32,32,1.0
161,32,32,32,1.0
162,92,32,0,0.0
163,50,32,8,0.25
164,15,32,20,0.625
165,77,32,32,1.0
166,5,32,32,1.0
167,16,32,32,1.0
168,18,32,32,1.0
169,120,32,32,1.0
170,150,32,32,1.0
171,1210,32,32,1.0
172,51,32,29,0.90625
173,18000,32,30,0.9375
174,95,32,28,0.875
175,15,32,20,0.625
176,100,32,4,0.125
177,350,32,27,0.84375
178,122,32,32,1.0
179,130,32,31,0.96875
180,20,32,32,1.0
181,160,32,32,1.0
182,23,32,27,0.84375
183,2,32,27,0.84375
184,25,32,22,0.6875
185,30,32,32,1.0
186,5,32,10,0.3125
187,106,32,22,0.6875
188,50,32,32,1.0
189,34,32,28,0.875
190,360,32,32,1.0
191,5,32,28,0.875
192,91,32,30,0.9375
193,24,32,21,0.65625
194,10,32,32,1.0
195,12,32,32,1.0
196,120,32,32,1.0
197,6277,32,28,0.875
198,320,32,19,0.59375
199,7500,32,6,0.1875
200,55,32,32,1.0
201,114200,32,17,0.53125
202,100,32,32,1.0
203,31,32,27,0.84375
204,98,32,31,0.96875
205,98,32,0,0.0
206,860,32,30,0.9375
207,2600,32,32,1.0
208,76,32,32,1.0
209,145,32,29,0.90625
210,10,32,8,0.25
211,4,32,32,1.0
212,5,32,32,1.0
213,250,32,29,0.90625
214,8,32,1,0.03125
215,44,32,32,1.0
216,220,32,31,0.96875
217,15,32,32,1.0
218,45,32,32,1.0
219,54,32,32,1.0
220,70,32,32,1.0
221,90,32,32,1.0
222,140,32,32,1.0
223,20000,32,32,1.0
224,180,32,32,1.0
225,9,32,30,0.9375
226,33,32,31,0.96875
227,9,32,30,0.9375
228,1,32,31,0.96875
229,21,32,32,1.0
230,276000,32,10,0.3125
231,50,32,32,1.0
232,75,32,32,1.0
233,12,32,32,1.0
234,21,32,5,0.15625
235,10,32,29,0.90625
236,31,32,1,0.03125
237,90,32,32,1.0
238,68,32,32,1.0
239,280,32,32,1.0
240,21,32,31,0.96875
241,6,32,27,0.84375
242,3,32,31,0.96875
243,250,32,30,0.9375
244,20,32,16,0.5
245,7,32,1,0.03125
246,27000,32,24,0.75
247,32,32,22,0.6875
248,300,32,32,1.0
249,5600,32,28,0.875
250,17,32,26,0.8125
251,70,32,32,1.0
252,73,32,23,0.71875
253,18,32,31,0.96875
254,84,32,32,1.0
255,192,32,0,0.0
256,45,32,30,0.9375
257,5600,32,31,0.96875
258,6,32,4,0.125
259,168,32,17,0.53125
260,11,32,29,0.90625
261,62,32,19,0.59375
262,270,32,32,1.0
263,8,32,32,1.0
264,400,32,32,1.0
265,9500,32,30,0.9375
266,118000,32,20,0.625
267,91,32,1,0.03125
