problem_idx,ground_truth,n_samples,n_correct,accuracy
0,18,32,30,0.9375
1,3,32,32,1.0
2,70000,32,12,0.375
3,540,32,0,0.0
4,20,32,24,0.75
5,64,32,16,0.5
6,260,32,32,1.0
7,160,32,1,0.03125
8,45,32,0,0.0
9,460,32,32,1.0
10,366,32,31,0.96875
11,694,32,32,1.0
12,13,32,0,0.0
13,18,32,18,0.5625
14,60,32,32,1.0
15,125,32,23,0.71875
16,230,32,26,0.8125
17,57500,32,24,0.75
18,7,32,29,0.90625
19,6,32,28,0.875
20,15,32,3,0.09375
21,14,32,1,0.03125
22,7,32,32,1.0
23,8,32,32,1.0
24,26,32,31,0.96875
25,2,32,31,0.96875
26,243,32,32,1.0
27,16,32,23,0.71875
28,25,32,9,0.28125
29,104,32,11,0.34375
30,109,32,32,1.0
31,80,32,32,1.0
32,35,32,32,1.0
33,70,32,32,1.0
34,23,32,32,1.0
35,9,32,32,1.0
36,75,32,32,1.0
37,2,32,1,0.03125
38,10,32,23,0.71875
39,18,32,29,0.90625
40,8,32,32,1.0
41,200,32,18,0.5625
42,26,32,32,1.0
43,48,32,9,0.28125
44,20,32,19,0.59375
45,104,32,31,0.96875
46,163,32,32,1.0
47,800,32,31,0.96875
48,8,32,32,1.0
49,30,32,32,1.0
50,294,32,32,1.0
51,5,32,12,0.375
52,15,32,32,1.0
53,40,32,32,1.0
54,40,32,4,0.125
55,14,32,31,0.96875
56,3,32,31,0.96875
57,83,32,32,1.0
58,57,32,24,0.75
59,187,32,32,1.0
60,17,32,32,1.0
61,1430,32,32,1.0
62,25000,32,1,0.03125
63,1596,32,31,0.96875
64,300,32,31,0.96875
65,36,32,16,0.5
66,48,32,29,0.90625
67,595,32,32,1.0
68,36,32,32,1.0
69,60,32,32,1.0
70,7425,32,28,0.875
71,60,32,32,1.0
72,221,32,32,1.0
73,255,32,32,1.0
74,88,32,26,0.8125
75,60,32,11,0.34375
76,5,32,32,1.0
77,100,32,32,1.0
78,6,32,32,1.0
79,70,32,32,1.0
80,10,32,32,1.0
81,17,32,32,1.0
82,623,32,31,0.96875
83,600,32,32,1.0
84,15,32,32,1.0
85,44,32,28,0.875
86,22,32,26,0.8125
87,9360,32,0,0.0
88,8000,32,32,1.0
89,24,32,14,0.4375
90,225,32,32,1.0
91,28,32,32,1.0
92,4,32,32,1.0
93,36,32,1,0.03125
94,348,32,29,0.90625
95,40,32,32,1.0
96,3,32,32,1.0
97,12,32,22,0.6875
98,5,32,28,0.875
99,58,32,32,1.0
100,175,32,16,0.5
101,6,32,20,0.625
102,26,32,0,0.0
