problem_idx,ground_truth,n_samples,n_correct,accuracy
0,18,32,31,0.96875
1,3,32,32,1.0
2,70000,32,31,0.96875
3,540,32,29,0.90625
4,20,32,31,0.96875
5,64,32,28,0.875
6,260,32,32,1.0
7,160,32,3,0.09375
8,45,32,6,0.1875
9,460,32,32,1.0
10,366,32,32,1.0
11,694,32,30,0.9375
12,13,32,4,0.125
13,18,32,23,0.71875
14,60,32,32,1.0
15,125,32,32,1.0
16,230,32,32,1.0
17,57500,32,31,0.96875
18,7,32,32,1.0
19,6,32,32,1.0
20,15,32,8,0.25
21,14,32,6,0.1875
22,7,32,32,1.0
23,8,32,12,0.375
24,26,32,32,1.0
25,2,32,32,1.0
26,243,32,31,0.96875
27,16,32,32,1.0
28,25,32,32,1.0
29,104,32,7,0.21875
30,109,32,32,1.0
31,80,32,32,1.0
32,35,32,32,1.0
33,70,32,32,1.0
34,23,32,32,1.0
35,9,32,30,0.9375
36,75,32,32,1.0
37,2,32,0,0.0
38,10,32,31,0.96875
39,18,32,24,0.75
40,8,32,32,1.0
41,200,32,25,0.78125
42,26,32,32,1.0
43,48,32,29,0.90625
44,20,32,13,0.40625
45,104,32,32,1.0
46,163,32,32,1.0
47,800,32,32,1.0
48,8,32,32,1.0
49,30,32,32,1.0
50,294,32,32,1.0
51,5,32,32,1.0
52,15,32,30,0.9375
53,40,32,32,1.0
54,40,32,0,0.0
55,14,32,32,1.0
56,3,32,32,1.0
57,83,32,30,0.9375
58,57,32,28,0.875
59,187,32,32,1.0
60,17,32,32,1.0
61,1430,32,32,1.0
62,25000,32,0,0.0
63,1596,32,30,0.9375
64,300,32,28,0.875
65,36,32,32,1.0
66,48,32,31,0.96875
67,595,32,32,1.0
68,36,32,32,1.0
69,60,32,32,1.0
70,7425,32,28,0.875
71,60,32,32,1.0
72,221,32,32,1.0
73,255,32,13,0.40625
74,88,32,31,0.96875
75,60,32,2,0.0625
76,5,32,32,1.0
77,100,32,32,1.0
78,6,32,31,0.96875
79,70,32,32,1.0
80,10,32,32,1.0
81,17,32,32,1.0
82,623,32,32,1.0
83,600,32,32,1.0
84,15,32,32,1.0
85,44,32,32,1.0
86,22,32,12,0.375
87,9360,32,1,0.03125
88,8000,32,30,0.9375
89,24,32,12,0.375
90,225,32,32,1.0
91,28,32,32,1.0
92,4,32,32,1.0
93,36,32,9,0.28125
94,348,32,32,1.0
95,40,32,32,1.0
96,3,32,32,1.0
97,12,32,30,0.9375
98,5,32,22,0.6875
99,58,32,32,1.0
100,175,32,24,0.75
101,6,32,28,0.875
102,26,32,0,0.0
103,140,32,32,1.0
104,500,32,32,1.0
105,20,32,32,1.0
106,72,32,31,0.96875
107,3,32,11,0.34375
108,50,32,32,1.0
109,28,32,24,0.75
110,45,32,32,1.0
111,16,32,29,0.90625
112,24,32,32,1.0
113,25,32,32,1.0
114,6,32,24,0.75
115,90,32,10,0.3125
116,42,32,29,0.90625
117,360,32,32,1.0
118,4,32,32,1.0
119,95200,32,0,0.0
120,240,32,32,1.0
121,27,32,32,1.0
122,48,32,15,0.46875
123,50,32,30,0.9375
124,10,32,31,0.96875
125,10,32,32,1.0
126,82,32,32,1.0
127,120,32,32,1.0
128,880,32,31,0.96875
129,10000,32,31,0.96875
130,30,32,32,1.0
131,940,32,32,1.0
132,60,32,31,0.96875
133,13,32,32,1.0
134,720,32,32,1.0
135,40,32,32,1.0
136,6,32,32,1.0
137,29,32,32,1.0
138,105,32,30,0.9375
139,70,32,28,0.875
140,20,32,32,1.0
141,400,32,32,1.0
142,140,32,32,1.0
