problem_idx,ground_truth,n_samples,n_correct,accuracy
0,18,32,31,0.96875
1,3,32,32,1.0
2,70000,32,31,0.96875
3,540,32,32,1.0
4,20,32,31,0.96875
5,64,32,30,0.9375
6,260,32,32,1.0
7,160,32,2,0.0625
8,45,32,1,0.03125
9,460,32,32,1.0
10,366,32,32,1.0
11,694,32,32,1.0
12,13,32,2,0.0625
13,18,32,14,0.4375
14,60,32,32,1.0
15,125,32,32,1.0
16,230,32,32,1.0
17,57500,32,32,1.0
18,7,32,32,1.0
19,6,32,32,1.0
20,15,32,5,0.15625
21,14,32,2,0.0625
22,7,32,32,1.0
23,8,32,28,0.875
24,26,32,32,1.0
25,2,32,32,1.0
26,243,32,32,1.0
27,16,32,32,1.0
28,25,32,32,1.0
29,104,32,10,0.3125
30,109,32,32,1.0
31,80,32,32,1.0
32,35,32,32,1.0
33,70,32,32,1.0
34,23,32,32,1.0
35,9,32,32,1.0
36,75,32,32,1.0
37,2,32,0,0.0
38,10,32,32,1.0
39,18,32,20,0.625
40,8,32,32,1.0
41,200,32,17,0.53125
42,26,32,32,1.0
43,48,32,30,0.9375
44,20,32,11,0.34375
45,104,32,32,1.0
46,163,32,32,1.0
47,800,32,32,1.0
48,8,32,32,1.0
49,30,32,32,1.0
50,294,32,32,1.0
51,5,32,32,1.0
52,15,32,32,1.0
53,40,32,32,1.0
54,40,32,0,0.0
55,14,32,32,1.0
56,3,32,32,1.0
57,83,32,31,0.96875
58,57,32,24,0.75
59,187,32,32,1.0
60,17,32,32,1.0
61,1430,32,32,1.0
62,25000,32,0,0.0
63,1596,32,32,1.0
64,300,32,30,0.9375
65,36,32,32,1.0
66,48,32,32,1.0
67,595,32,32,1.0
68,36,32,32,1.0
69,60,32,32,1.0
70,7425,32,28,0.875
71,60,32,32,1.0
72,221,32,32,1.0
73,255,32,25,0.78125
74,88,32,31,0.96875
75,60,32,3,0.09375
76,5,32,32,1.0
77,100,32,32,1.0
78,6,32,32,1.0
79,70,32,32,1.0
80,10,32,32,1.0
81,17,32,32,1.0
82,623,32,32,1.0
83,600,32,32,1.0
84,15,32,32,1.0
85,44,32,32,1.0
86,22,32,14,0.4375
87,9360,32,0,0.0
88,8000,32,32,1.0
89,24,32,14,0.4375
90,225,32,32,1.0
91,28,32,32,1.0
92,4,32,32,1.0
93,36,32,3,0.09375
94,348,32,32,1.0
95,40,32,32,1.0
96,3,32,32,1.0
97,12,32,32,1.0
98,5,32,27,0.84375
99,58,32,31,0.96875
100,175,32,2,0.0625
101,6,32,28,0.875
102,26,32,0,0.0
103,140,32,32,1.0
104,500,32,32,1.0
105,20,32,32,1.0
106,72,32,31,0.96875
107,3,32,19,0.59375
108,50,32,32,1.0
109,28,32,27,0.84375
110,45,32,32,1.0
111,16,32,23,0.71875
112,24,32,32,1.0
113,25,32,32,1.0
114,6,32,21,0.65625
115,90,32,3,0.09375
116,42,32,29,0.90625
117,360,32,32,1.0
118,4,32,32,1.0
119,95200,32,0,0.0
120,240,32,32,1.0
121,27,32,32,1.0
122,48,32,24,0.75
123,50,32,32,1.0
124,10,32,32,1.0
125,10,32,31,0.96875
126,82,32,32,1.0
127,120,32,32,1.0
128,880,32,31,0.96875
129,10000,32,30,0.9375
130,30,32,32,1.0
131,940,32,32,1.0
132,60,32,32,1.0
133,13,32,32,1.0
134,720,32,32,1.0
135,40,32,32,1.0
136,6,32,32,1.0
137,29,32,32,1.0
138,105,32,28,0.875
139,70,32,29,0.90625
140,20,32,32,1.0
141,400,32,30,0.9375
142,140,32,32,1.0
143,16,32,27,0.84375
