val/generations,_step,_runtime,val/HuggingFaceH4/MATH-500/test_score/unknown,val/HuggingFaceH4/MATH-500/1_length/unknown,val/HuggingFaceH4/MATH-500/length/unknown,val/HuggingFaceH4/MATH-500/test_score/,val/HuggingFaceH4/MATH-500/reward/unknown,val/HuggingFaceH4/MATH-500/0_length/mean,val/HuggingFaceH4/MATH-500/0_length/unknown,val/HuggingFaceH4/MATH-500/length/mean,val/HuggingFaceH4/MATH-500/1_length/mean,_timestamp,val/HuggingFaceH4/MATH-500/reward/mean,timing_s/ref,critic/advantages/max,critic/score/under_2k,critic/rewards/max,timing_s/step,critic/score/under_8k,critic/advantages/mean,critic/score/min,perf/max_memory_reserved_gb,critic/returns/min,critic/score/mean,timing_per_token_ms/adv,perf/max_memory_allocated_gb,prompt_length/min,perf/mfu/actor,timing_s/adv,actor/kl_coef,difficulty/verification/unknown,response_length/mean,global_seqlen/balanced_max,prompt_length/mean,timing_s/old_log_prob,critic/rewards/mean,timing_s/update_actor,timing_s/gen,actor/ppo_kl,global_seqlen/minmax_diff,timing_per_token_ms/ref,actor/entropy,actor/pg_clipfrac,difficulty/1_length/unknown,difficulty/1_verification/unknown,difficulty/0_length/unknown,difficulty/zero_advantage_ratio/unknown,critic/advantages/min,perf/total_num_tokens,critic/score/under_16k,actor/pg_loss,global_seqlen/balanced_min,critic/rewards/min,critic/returns/mean,critic/returns/max,perf/throughput,global_seqlen/mean,response_length/min,prompt_length/clip_ratio,actor/pg_clipfrac_lower,steps/steps,critic/score/under_4k,difficulty/0_verification/unknown,difficulty/length/unknown,prompt_length/max,response_length/clip_ratio,global_seqlen/max,timing_per_token_ms/update_actor,actor/lr,steps/compute_matched_steps,critic/score/max,perf/time_per_step,timing_per_token_ms/gen,actor/kl_loss,perf/cpu_memory_used_gb,response_length/max,global_seqlen/min,actor/grad_norm,difficulty/reward/unknown,timing_s/save_checkpoint,timing_s/testing
"{'_latest_artifact_path': 'wandb-client-artifact://xd0unsjtk5ttklmuxqja151m0cz4z7qowx6tv9oioyizwcqcrfvwy27kw2m1b51iwzm632k59boib754l264oeh9mtx4rzr8pdte5fdtb09sa44gjd4i5vf47191kuhx:latest/val/generations.table.json', '_type': 'table-file', 'ncols': 10, 'nrows': 1, 'artifact_path': 'wandb-client-artifact://iypq1m6p8spyyjmjcpx9ht75ru9lsnucehl2bfcjeokvam8jmux00t6kgy1ikh5pf55ihaa50oz5dlfq3r9bjoj8okt4zqy84vwyrrnitkhtrx5giluf3brjg1wkrpw9/val/generations.table.json', 'log_mode': 'IMMUTABLE', 'path': 'media/table/val/generations_0_dda34b0c70db46570ca8.table.json', 'sha256': 'dda34b0c70db46570ca8c1d69783a435cd37beefe23f92b6fd2b86078a6d9579', 'size': 19590}",1,619.947311188,0.3677062374245473,1705.437756497948,1919.4230382293763,0.3677062374245473,0.3677062374245473,2043.8647573587907,2043.8647573587907,1919.4230382293763,1705.437756497948,1779932188.5979137,0.3677062374245473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,785.266937096,,,,,,,,,,1779932373.961709,,17.790190811000002,2.4748666286468506,0.373046875,1.0,182.685928676,0.373046875,-0.006998926401138306,0.0,180.03515625,-2.4748666286468506,0.373046875,0.00025573326950168384,164.85345840454102,35.0,0.0,0.26522174100000484,0.001,6.97265625,1928.388671875,1037103.0,97.203125,18.210808911999948,0.373046875,49.91574347800008,96.39921348400003,7.520542010297504e-05,0.0,0.01715373575334369,0.11637822189368308,0.001275620743399486,1729.7068062827225,5.382198952879581,2046.607476635514,0.625,-2.4748666286468506,1037103.0,0.373046875,0.0072324205248150975,1037103.0,0.0,-0.006998926401138306,2.4748666286468506,5676.9725370547785,1037103.0,717.0,0.0,1.0172194606639096e-06,2.0,0.373046875,7.919003115264798,1928.388671875,461.0,0.75,1037103.0,0.04812997694346664,1e-06,0.0,1.0,182.685928676,0.09763577051760551,0.0019878458697348833,36.0623893737793,2048.0,1037103.0,0.2825222313404083,0.373046875,,
,3,956.200573669,,,,,,,,,,1779932539.2820222,,12.315193904000012,1.6201815605163574,0.4140625,1.0,165.02862627600007,0.4140625,-0.011155437678098679,0.0,201.2890625,-2.4748666286468506,0.4140625,0.00024138817166713503,164.85345840454102,37.0,0.0,0.24722204099998635,0.001,7.078125,1895.953125,1024168.0,104.375,12.054457876000015,0.4140625,45.186368990999995,95.17748430400002,4.921481773966331e-05,0.0,0.012024583763601295,0.11344590038061142,0.0007741749339567667,1709.9292452830189,5.599056603773585,2027.41,0.640625,-2.4748666286468506,1024168.0,0.4140625,0.011347106460368994,1024168.0,0.0,-0.011155437678098679,1.6201815605163574,6206.002092552979,1024168.0,770.0,0.0,1.0299446523387097e-06,3.0,0.4140625,8.123333333333333,1895.953125,452.0,0.68359375,1024168.0,0.0441200750179658,1e-06,987335.0,1.0,165.02862627600007,0.09804753165047264,0.001860988442786038,35.8971061706543,2048.0,1024168.0,0.25220414996147156,0.4140625,,
,4,1123.122585451,,,,,,,,,,1779932710.2157817,,12.529347788999871,2.4748666286468506,0.373046875,1.0,170.63710508500003,0.373046875,-0.005007487256079912,0.0,201.2890625,-2.4748666286468506,0.373046875,0.0002655307013180298,164.89067697525024,34.0,0.0,0.2749249119999604,0.001,7.9140625,1939.255859375,1035379.0,82.96875,12.648785650000036,0.373046875,45.173284762000094,99.96916111600001,3.29064566813031e-05,0.0,0.012101218770131393,0.11699591157957911,0.0014242387223930564,1756.497382198953,6.439790575916231,2048.0,0.578125,-2.4748666286468506,1035379.0,0.373046875,0.005072836909675971,1035379.0,0.0,-0.005007487256079912,2.4748666286468506,6067.724833260873,1035379.0,788.0,0.0,2.018212285292975e-06,4.0,0.373046875,8.791277258566979,1939.255859375,277.0,0.794921875,1035379.0,0.0436297092774724,1e-06,1958063.0,1.0,170.63710508500003,0.10068411904534097,0.0020685591734945774,35.83405303955078,2048.0,1035379.0,0.30331048369407654,0.373046875,,
,5,1294.029622061,,,,,,,,,,1779932877.1364844,,12.32684749300006,2.4748666286468506,0.369140625,1.0,166.62225207300003,0.369140625,-0.008633701130747795,0.0,211.734375,-2.4748666286468506,0.369140625,0.000239982781100156,164.89067697525024,33.0,0.0,0.24590747599995666,0.001,8.220703125,1914.15625,1024688.0,87.1875,12.082348195000122,0.369140625,44.7530487680001,97.17016714700003,0.00016707825116668573,0.0,0.012029854446426678,0.1247318466193974,0.0011549578302947339,1685.4179894179895,6.28042328042328,2048.0,0.71875,-2.4748666286468506,1024688.0,0.369140625,0.008662077536428114,1024688.0,0.0,-0.008633701130747795,2.4748666286468506,6149.766836371092,1024688.0,743.0,0.0,1.0068303026855574e-06,5.0,0.369140625,9.356037151702786,1914.15625,328.0,0.744140625,1024688.0,0.04367480517777128,1e-06,2950962.0,1.0,166.62225207300003,0.09914837553568807,0.002114136004820466,35.83214569091797,2048.0,1024688.0,0.26340675354003906,0.369140625,,
,6,1457.794817099,,,,,,,,,,1779933048.0459867,,12.676746420999962,2.4748666286468506,0.310546875,1.0,170.61328641600016,0.310546875,-0.002773206913843751,0.0,211.939453125,-2.4748666286468506,0.310546875,0.00023323436030705995,164.97439622879028,35.0,0.0,0.24554960099999334,0.001,7.439453125,1957.22265625,1052802.0,99.03125,12.51126116699993,0.310546875,46.08237702800011,99.05687076999993,0.00011467868755448073,0.0,0.012040959668579621,0.11780149376753604,0.00041353803306154794,1761.685534591195,5.389937106918239,2045.2974504249291,0.796875,-2.4748666286468506,1052802.0,0.310546875,0.0029746529180556536,1052802.0,0.0,-0.002773206913843751,2.4748666286468506,6170.691756285564,1052802.0,789.0,0.0,0.0,6.0,0.310546875,8.362606232294617,1957.22265625,394.0,0.791015625,1052802.0,0.043771171623914196,1e-06,3931010.0,1.0,170.61328641600016,0.09884948455141107,0.002252579666674137,35.86659240722656,2048.0,1052802.0,0.15781381726264954,0.310546875,,
,7,1625.490220744,,,,,,,,,,1779933211.8104038,,12.080681424999966,2.4748666286468506,0.431640625,1.0,163.452789167,0.431640625,-0.0016118171624839306,0.0,211.939453125,-2.4748666286468506,0.431640625,0.00024184404873787648,164.97439622879028,32.0,0.0,0.24268881000011788,0.001,7.376953125,1865.853515625,1003493.0,94.09375,11.885486328999832,0.431640625,44.02848974099993,95.17093303600018,-2.4402378130616853e-05,0.0,0.012038630488702927,0.12139122560620308,0.0010125921635335544,1626.0135746606336,4.850678733031674,2048.0,0.703125,-2.4748666286468506,1003493.0,0.431640625,0.0017074400093406439,1003493.0,0.0,-0.0016118171624839306,2.4748666286468506,6139.344609009575,1003493.0,674.0,0.0,2.095206582453102e-06,7.0,0.431640625,9.29553264604811,1865.853515625,390.0,0.6953125,1003493.0,0.04387523355020905,1e-06,4933108.0,1.0,163.452789167,0.09962235889866942,0.0021518536377698183,35.83462142944336,2048.0,1003493.0,0.24207031726837158,0.431640625,,
,8,1784.48638847,,,,,,,,,,1779933379.506775,,12.374760803000072,2.4748666286468506,0.416015625,1.0,167.37975353399997,0.416015625,0.0005227153305895627,0.0,211.939453125,-2.4748666286468506,0.416015625,0.00023257829655690406,164.97439622879028,31.0,0.0,0.23798736999992798,0.001,6.615234375,1910.923828125,1023257.0,87.625,12.100229580999894,0.416015625,45.371686514999965,97.25146269600009,3.63958686193655e-05,0.0,0.01209350222182704,0.11599429743364453,0.0007160644718169351,1724.225352112676,5.098591549295775,2043.923076923077,0.703125,-2.4748666286468506,1023257.0,0.416015625,-0.00040909521993626186,1023257.0,0.0,0.0005227153305895627,2.4748666286468506,6113.385749442778,1023257.0,468.0,0.0,0.0,8.0,0.416015625,7.695652173913044,1910.923828125,403.0,0.7421875,1023257.0,0.044340460426852656,1e-06,5888425.0,1.0,167.37975353399997,0.09939918079544732,0.002081071026623249,35.84358215332031,2048.0,1023257.0,0.21900804340839386,0.416015625,,
,9,1959.066414051,,,,,,,,,,1779933538.5004177,,11.78833246499994,2.4748666286468506,0.439453125,1.0,158.69759898899997,0.439453125,-0.00970593374222517,0.0,211.939453125,-2.4748666286468506,0.439453125,0.00023673429303380764,164.97439622879028,30.0,0.0,0.23231872500014106,0.001,7.037109375,1836.3359375,981348.0,80.359375,11.569549126000084,0.439453125,43.349648484,91.71134996299998,4.081739403303683e-06,0.0,0.012012387516966396,0.11485560815180501,0.0008371300458337271,1586.4444444444443,4.866666666666666,2032.2439024390244,0.71875,-2.4748666286468506,981348.0,0.439453125,0.009790766601180357,981348.0,0.0,-0.00970593374222517,2.4748666286468506,6183.760852412276,981348.0,762.0,0.0,3.1932726297752873e-06,9.0,0.439453125,8.738675958188153,1836.3359375,315.0,0.640625,981348.0,0.04417357398598662,1e-06,6866818.0,1.0,158.69759898899997,0.09754409677367887,0.0025327648036181927,35.83142852783203,2048.0,981348.0,0.2278236597776413,0.439453125,,
,10,2127.948850361,,,,,,,,,,1779933713.0827577,,12.628845921999982,2.4748666286468506,0.296875,1.0,174.22661043800008,0.296875,-0.0068215420469641685,0.0,211.939453125,-2.4748666286468506,0.296875,0.0002337162400783033,164.97439622879028,35.0,0.0,0.24486263500011773,0.001,8.267578125,1948.9296875,1047692.0,97.34375,12.362165910000158,0.296875,46.268518988000096,102.67717076999998,9.412581061434884e-05,0.0,0.012053968076495747,0.1278652645873301,0.0011182395586123068,1714.717105263158,6.467105263157895,2047.8194444444443,0.6875,-2.4748666286468506,1047692.0,0.296875,0.007001226655010021,1047692.0,0.0,-0.0068215420469641685,2.4748666286468506,6013.386803348444,1047692.0,957.0,0.0,0.0,10.0,0.296875,9.027777777777779,1948.9296875,324.0,0.80078125,1047692.0,0.044162329184531425,1e-06,7807022.0,1.0,174.22661043800008,0.10289819609521249,0.0028724875301122665,35.859718322753906,2048.0,1047692.0,0.2683124542236328,0.296875,,
