problem_idx,ground_truth,n_samples,n_correct,accuracy
0,72,1,1,1.0
1,10,1,1,1.0
2,5,1,1,1.0
3,42,1,1,1.0
4,624,1,1,1.0
5,35,1,1,1.0
6,48,1,1,1.0
7,16,1,1,1.0
8,41,1,1,1.0
9,990,1,1,1.0
10,121,1,1,1.0
11,5,1,1,1.0
12,85,1,1,1.0
13,35,1,1,1.0
14,5,1,1,1.0
15,448000,1,1,1.0
16,800,1,1,1.0
17,43,1,1,1.0
18,16,1,1,1.0
19,16,1,1,1.0
20,38,1,1,1.0
21,1080,1,1,1.0
22,7,1,1,1.0
23,5,1,1,1.0
24,62,1,1,1.0
25,110,1,1,1.0
26,400,1,1,1.0
27,400,1,1,1.0
28,8,1,1,1.0
29,1000,1,1,1.0
30,6,1,1,1.0
31,1200,1,1,1.0
32,10,1,1,1.0
33,34,1,1,1.0
34,5250,1,1,1.0
35,36,1,1,1.0
36,15,1,1,1.0
37,5,1,1,1.0
38,9,1,1,1.0
39,15,1,1,1.0
40,476,1,1,1.0
41,500,1,1,1.0
42,99,1,1,1.0
43,60,1,1,1.0
44,300,1,1,1.0
45,99,1,1,1.0
46,1920,1,1,1.0
47,15,1,1,1.0
48,10,1,1,1.0
49,48,1,1,1.0
50,5,1,1,1.0
51,160,1,1,1.0
52,5,1,1,1.0
53,36,1,1,1.0
54,11,1,1,1.0
55,75,1,1,1.0
56,45,1,1,1.0
57,2,1,1,1.0
58,320,1,1,1.0
59,120,1,1,1.0
60,96,1,1,1.0
61,200,1,1,1.0
62,15,1,1,1.0
63,59,1,0,0.0
64,840,1,1,1.0
65,558,1,1,1.0
66,520,1,1,1.0
67,6,1,0,0.0
68,90,1,1,1.0
69,49,1,1,1.0
70,19,1,1,1.0
71,25,1,1,1.0
72,54,1,1,1.0
73,3,1,1,1.0
74,28,1,1,1.0
75,15,1,1,1.0
76,768,1,1,1.0
77,85,1,1,1.0
78,4,1,1,1.0
79,70,1,1,1.0
80,100,1,1,1.0
81,14,1,1,1.0
82,700,1,1,1.0
83,54,1,1,1.0
84,90,1,1,1.0
85,5,1,1,1.0
86,6,1,1,1.0
87,600,1,1,1.0
88,258,1,1,1.0
89,216,1,1,1.0
90,90,1,1,1.0
91,10,1,1,1.0
92,1825,1,1,1.0
93,14000,1,1,1.0
94,60,1,1,1.0
95,64,1,1,1.0
96,126,1,1,1.0
97,46,1,1,1.0
98,45,1,1,1.0
99,3,1,1,1.0
100,15,1,1,1.0
101,36,1,1,1.0
102,25,1,1,1.0
103,258,1,0,0.0
104,96,1,1,1.0
105,320,1,1,1.0
106,50,1,1,1.0
107,97,1,1,1.0
108,41,1,0,0.0
109,20,1,1,1.0
110,140,1,1,1.0
111,6,1,1,1.0
112,920,1,1,1.0
113,60,1,1,1.0
114,15,1,1,1.0
115,4000,1,1,1.0
116,21,1,0,0.0
117,16,1,1,1.0
118,13,1,0,0.0
119,140,1,1,1.0
120,720,1,1,1.0
121,6,1,1,1.0
122,48,1,1,1.0
123,25,1,1,1.0
124,18,1,1,1.0
125,50,1,1,1.0
126,25,1,1,1.0
127,55,1,1,1.0
128,6,1,1,1.0
129,10,1,1,1.0
130,55,1,1,1.0
131,500,1,1,1.0
132,110,1,1,1.0
133,9,1,1,1.0
134,74,1,1,1.0
135,2350,1,1,1.0
136,20,1,1,1.0
137,6,1,1,1.0
138,8,1,1,1.0
139,24,1,1,1.0
140,148,1,1,1.0
141,72,1,0,0.0
142,30,1,1,1.0
143,45,1,0,0.0
144,8,1,1,1.0
145,2,1,1,1.0
146,136,1,1,1.0
147,9,1,1,1.0
148,35,1,1,1.0
149,4,1,1,1.0
150,3,1,1,1.0
151,283,1,1,1.0
152,44,1,1,1.0
153,135,1,1,1.0
154,720,1,1,1.0
155,160,1,1,1.0
156,21,1,1,1.0
157,10,1,1,1.0
158,6,1,1,1.0
159,27,1,1,1.0
160,295,1,0,0.0
161,4,1,1,1.0
162,2290,1,0,0.0
163,72,1,1,1.0
164,32,1,1,1.0
165,6,1,1,1.0
166,9,1,1,1.0
167,1920,1,0,0.0
168,54,1,1,1.0
169,216,1,1,1.0
170,21,1,1,1.0
171,24,1,1,1.0
172,75,1,1,1.0
173,18,1,0,0.0
174,35,1,1,1.0
175,58,1,1,1.0
176,2,1,1,1.0
177,11000,1,1,1.0
178,23,1,1,1.0
179,42,1,1,1.0
180,360,1,1,1.0
181,21,1,1,1.0
182,230,1,1,1.0
183,349,1,1,1.0
184,3750,1,1,1.0
185,4,1,1,1.0
186,50,1,1,1.0
187,70,1,0,0.0
188,10,1,1,1.0
189,48,1,1,1.0
190,46,1,1,1.0
191,96,1,0,0.0
192,670,1,1,1.0
193,160,1,1,1.0
194,322,1,1,1.0
195,30,1,1,1.0
196,15,1,1,1.0
197,24,1,1,1.0
198,30,1,1,1.0
199,150,1,1,1.0
200,195,1,1,1.0
201,10,1,1,1.0
202,240,1,1,1.0
203,4,1,1,1.0
204,160,1,1,1.0
205,135,1,1,1.0
206,100,1,1,1.0
207,72,1,1,1.0
208,200,1,1,1.0
209,80,1,1,1.0
210,54,1,1,1.0
211,7200,1,1,1.0
212,5,1,1,1.0
213,250,1,1,1.0
214,18,1,0,0.0
215,24,1,1,1.0
216,30,1,1,1.0
217,96,1,0,0.0
218,350,1,1,1.0
219,11,1,1,1.0
220,52,1,0,0.0
221,50,1,1,1.0
222,59,1,1,1.0
223,2,1,1,1.0
224,20655,1,1,1.0
225,76,1,1,1.0
226,91,1,1,1.0
227,20,1,1,1.0
228,40,1,0,0.0
229,15,1,0,0.0
230,60,1,1,1.0
231,7,1,1,1.0
232,8,1,0,0.0
233,40,1,1,1.0
234,8,1,1,1.0
235,45,1,1,1.0
236,825,1,1,1.0
237,220,1,1,1.0
238,7,1,1,1.0
239,3,1,1,1.0
240,18,1,1,1.0
241,12,1,1,1.0
242,36,1,1,1.0
243,7,1,1,1.0
244,100,1,1,1.0
245,2280,1,1,1.0
246,52,1,1,1.0
247,27,1,1,1.0
248,9,1,1,1.0
249,9,1,1,1.0
250,360,1,1,1.0
251,138,1,1,1.0
252,40,1,1,1.0
253,80,1,1,1.0
254,30,1,1,1.0
255,25,1,1,1.0
256,108,1,1,1.0
257,79,1,1,1.0
258,200,1,1,1.0
259,37,1,1,1.0
260,360,1,1,1.0
261,1,1,1,1.0
262,3,1,1,1.0
263,30,1,1,1.0
264,21600,1,1,1.0
265,9,1,1,1.0
266,4,1,1,1.0
267,2,1,0,0.0
268,12,1,1,1.0
269,13,1,1,1.0
270,600,1,1,1.0
271,250,1,1,1.0
272,45,1,1,1.0
273,21,1,1,1.0
274,63,1,1,1.0
275,1500,1,1,1.0
276,1000,1,1,1.0
277,175,1,1,1.0
278,333200,1,1,1.0
279,126,1,1,1.0
280,18,1,1,1.0
281,1728,1,1,1.0
282,2210,1,0,0.0
283,11,1,1,1.0
284,768000,1,1,1.0
285,2,1,1,1.0
286,2,1,0,0.0
287,18,1,1,1.0
288,650,1,1,1.0
